,Country,Land,BMZ Nummer,Projektführendes Referat,Vorhabenbezeichnung,Inhaltliche Erläuterung,Haushaltstitel,Projektbeginn,Geplantes Projektende,Auftragsbetrag gesamt BMZ-Mittel,Auszahlungsbetrag gesamt,Geplante Beauftragungen 2023,Ländernamen
10,Kolumbien,COL,2022.2020.0,414.0,Globalvorhaben Go Circular ,"Kreislaufwirtschaft ist essentieller Teil einer sozial-ökologischen Transformation, einer Just Transition. Das GV Go Circular berät das BMZ (Referate 414 und 424) in diesem Themenkomplex, inklusiver fachliche Zuarbeit, Beobachtung internationaler Prozesse (u.a. UNEA-Plastikabkommen), Vorbereitung von Positionierung, Agenda-Setting zu Kreislaufwirtschaft und Meeresmüllvermeidung. Als Globalvorhaben arbeitet Go Circular zudem global z.B. zu Abfallvermeidung und der Entwicklung neuer Kreislaufwirtschaftsansätze über die vom BMZ lancierte Multiakteurspartnerschaft PREVENT Waste Alliance, deren Sekretariatsfunktion an das GV angedockt ist, und in Länderkomponenten zu Klimaminderung (in Kolumbien) und Meeresmüllvermeidung (Ghana). Das GV fördert innovative Ansätze (mit Fokus auf Unternehmerinnen), skaliert Erprobtes und arbeitet mit internationalen Allianzen. Go Circular zielt dabei auf eine spürbare, positive Wirkung auf die Gleichberechtigung der Geschlechter ab. Das Vorhaben wird durch die Leitungsreserve 2023 verlängert.","Kap. 2301 Tit. 896 03 
(TZ)",2022-07-01 00:00:00.000,2024-06-30 00:00:00,7000000.0,1048144.79,6500000.0,"Kolumbien, Ghana, Vietnam"
11,Albanien,ALB,2020.2159.0,422.0,NDC Assist II - Stärkung der Finanzierung und Umsetzung nationaler Klimabeiträge,"Zielt darauf ab, Kapazitäten ausgewählter NDCP Mitgliedsländer sowie ausgewählter Akteure des Privatsektors für die Finanzierung und Umsetzung ihrer NDCs zu stärken. Regional Pacific NDC Hub: Unterstützung von 14 PICs bei der ambitionierten Gestaltung und Umsetzung ihrer NDCs. Änderungsangebot eingereicht (falls gebilligt: Verlängerung bis 12/25 und zusätzliche Komponente Art. 6).","Kap. 2301 Tit. 896 03 
(TZ)",2020-10-08 00:00:00.000,2024-12-31 00:00:00,14300000.0,5183470.39,1500000.0,"Albanien, Burkina Faso, Fidschi, Indonesien, Kenia, St. Lucia, Nigeria, Peru, Ruanda, Südafrika"
12,Afghanistan,AFG,2021.2031.9,423.0,Globalvorhaben CONNEX Support Unit II,"Die Multigeberfinanzierte CONNEX Support Unit soll Schwellenländer darin unterstützen, den entwicklungspolitischen Nutzen von Investitionen zu erhöhen.","Kap. 2301 Tit. 896 03 
(TZ)",2021-03-01 11:00:00.000,2024-02-29 11:00:00,7000000.0,3669121.03,0.0,"Afghanistan, Argentinien, Ecuador, Liberia, Mongolei, Mauretanien, Montserrat, Panama, Philippinen, Ruanda, Senegal"
13,Burkina Faso,BFA,2020.2289.5,424.0,GV Proklima für integrierten Klima- und Ozonschutz,"Das Vorhaben unterstützt eine klimaverträgliche und nachhaltige Transformation des Cooling-Sektors und fördert den beschleunigten Einsatz von klima- und ozonfreundlichen Technologien, u.a. durch Beratung ausgewählter Kooperationsländer und die Erarbeitung von Sektorstrategien. Qualifizierung, Registrierung und Zertifizierung von Kältetechniker/innen zur Anwendung von natürlichen Kältemitteln sowie Pilotmaßnahmen zur Implementierung neuer Technologien für klimafreundliche Kühlung fördern den von der Bundesregierung propagierten Green-Cooling Ansatz. Die Beratung und Unterstützung des BMZ zielt darauf ab, Deutschlands Rolle im multilateralen Prozess des Montrealer Protokolls zu stärken, andere Akteure zu einer ambitionierten Umsetzung einer integrierten Klima- und Ozonschutzpolitik zu bewegen.
","Kap. 2301 Tit. 896 03 
(TZ)",2020-12-18 00:00:00.000,2024-06-30 00:00:00,4000000.0,1811041.09,0.0,"Burkina Faso, Kamerun, Mali, Senegal"
14,Afghanistan,AFG,"2019.2146.9,
2023.2163.6",500.0,Programm Migration und Diaspora,"Förderung positiver Effeke von Migration durch Migrationsberatung, Rückkehrende Fachkräfte, Diasporaförderung, Migrationspolitikberatung; soll ab 1.06. 2023 in ein Folgevorhaben übergehen ""Migration entwicklungspolitisch gestalten mit folgendem Inhalt: Migrationspolitikberatung und Aufbau von Kapazitäten von Partnerstrukturen, insbes. im Bereich Feministische Entwicklungspolitik (Globale Sorgeketten, prekäre Arbeit) und Diasporaförderung, Partnerschaften mit mulilateralen Akteuren.  ","Kap. 2301 Tit. 896 03 
(TZ)",2019-05-12 00:00:00.000,2023-06-30 00:00:00,94950000.0,78750430.57,24000000.0,"Afghanistan, Albanien, Kamerun, Kolumbien, Ecuador, Ägypten, Äthiopien, Georgien, Ghana, Gambia, Indonesien, Indien, Irak, Jordanien, Kenia, Marokko, Nigeria, Nepal, Peru, Pakistan, Palästinensische Gebiete, Serbien, Senegal, Tunesien, Ukraine, Vietnam, Kosovo"
15,Dschibuti,DJI,"2020.2045.1,
2023.2165.1",500.0,Programm Migration für Entwicklung III,"Stärkung der Rückkehr und Reintegration von MigrantInnen und Integration lokaler Bevölkerung in den Arbeitsmarkt in ausgewählten Partnerländern. Soll am 5.05.2023 in ein Folgevorhaben übergehen ""Zentren für Migration und Entwicklung"" zur Umsetzung der Leuchtturminitiative ""Zentren für Migration und Entwicklung"".","Kap. 2301 Tit. 896 03 
(TZ)",2020-05-05 00:00:00.000,2023-07-31 00:00:00,182148000.0,118773088.99,48000000.0,"Dschibuti, Äthiopien, Kenia, Sudan, Somalia, Südsudan, Uganda"
16,Jordanien,JOR,2019.2156.8,513.0,Betreiberplattform zur Stärkung von Partnerschaften kommunaler Unternehmen weltweit,"Ziel des Projektes ist, systematische Ansätze zur Förderung der Zusammenarbeit kommunaler Unternehmen
am Beispiel des Wassersektor zu pilotieren, sowie ein dauerhaftes Modell zur Förderung für Betreiberpartnerschaften
kommunaler Unternehmen (auch andere Sektoren) zu entwickeln.","Kap. 2301 Tit. 896 03 
(TZ)",2019-06-18 00:00:00.000,2024-06-30 00:00:00,12150000.0,4714541.25,2000000.0,"Jordanien, Tansania, Ukraine, Südafrika, Sambia"
0,Bolivien,BOL,2020.2256.4,101.0,Unterstützung der internationalen Allianz zur Reduzierung von Gesundheitsrisiken im Wildtierhandel,"Eine internationale Allianz wird als interdisziplinäre, inklusive Austausch-Plattform etabliert, um wissenschaftliche Evidenz in die Praxis und konkrete Policy-Empfehlungen zu übersetzen. So verbreitet sie erfolgreich Ansätze zur Reduzierung von Risiken der Umwelt-, Human- und Tiergesundheit im Umgang mit Wildtieren und Wildtierprodukten entlang der gesamten Handelskette.","Kap. 2301 Tit. 896 03 
(TZ)",2020-12-15 00:00:00.000,2024-12-31 00:00:00,8500000.0,2703186.25,3215000.0,"Angola, Bolivien, Brasilien, Bhutan, Botsuana, Kongo Dem. Rep., Kongo Republik, Kamerun, China VR, Guatemala, Indonesien, Indien, Kenia, Laos, Mongolei, Nigeria, Philippinen, Thailand, Vietnam, Sambia"
1,Jordanien,JOR,2019.2364.8,111.0,Kultur und Kreativwirtschaft,"Das GV „Kultur- und Kreativwirtschaft“ (Subsahara Afrika und Naher Osten) schafft bessere Ausbildungsmöglichkeiten, mehr Jobs und höhere Einkommen insbesondere für Frauen der Kultur- und Kreativbranche und fördert gleichberechtigte wirtschaftliche Teilhabe im Sinne einer feministischen Entwicklungspolitik. Kreativunternehmerinnen werden zudem als gesellschaftliche Change Agents gestärkt: für mehr Wertschöpfung vor Ort, Verbesserung von Arbeitsbedingungen (insbes. soziale Sicherung) und zur Unterstützung von Meinungsvielfalt und Identitätsdiskurs. Darüber hinaus werden ausgehend von der Kultur- und Kreativwirtschaft Beiträge zur Reflektion kolonialer Kontinuitäten u.a. durch gezielte Dialogformate und gleichberechtigte Wirtschaftskooperationen (Nord-Süd/Süd-Nord) initiiert. ","Kap. 2301 Tit. 896 03 
(TZ)",2020-03-08 00:00:00.000,2024-03-31 00:00:00,20875293.68,12068657.47,0.0,"Irak, Jordanien, Kenia, Libanon, Senegal, Südafrika"
2,Ghana,GHA,2021.2006.1,112.0,Allianzen für Handelserleichterungen,Die Leistungsfähigkeit von Regierungen für die Umsetzung von Trade Facilitation Maßnahmen unter Einbeziehung des Privatsektors sind gestärkt,"Kap. 2301 Tit. 896 03 
(TZ)",2021-01-26 00:00:00.000,2024-01-31 11:00:00,14350000.0,8094199.24,1500000.0,"Ecuador, Ghana, Indonesien, Jordanien, Kenia, Marokko, Montenegro, Nigeria, Senegal, Thailand"
3,Kambodscha,KHM,2021.2208.3,120.0,Inititiative Globale Solidarität (IGS): Komponente GIZ,"Unterstützungsmaßnahmen für Umsetzung Lieferkettengesetz in Partnerländern, z.B. Einrichtung von Helpdesks in örtlichen Dachverbänden, Förderung von Initiativen zur Steigerung der Transparenz in Lieferketten, Flankierung von Beschwerdemechanismen.","Kap. 2301 Tit. 896 03 
(TZ)",2021-07-01 09:59:59.999,2024-06-30 00:00:00,34250000.0,7769442.9,0.0,"Bangladesch, Kambodscha, Serbien, Vietnam"
4,Ägypten,EGY,2018.2085.1,122.0,Fonds zur Förderung der personellen Zusammenarbeit mit Partnern der internationalen Agrarforschung - PIAF,"Vorhaben zum strategischen Aufbau von Kapazitäten in internationalen Agrarforschungsein-richtungen der Globalen Forschungspartnerschaft für eine ernährungssichere Zukunft (CGIAR) durch Entsendung von CIM Integrierten Fachkräften. Dies trägt dazu bei, dass Forschungsergebnisse in entwicklungsrelevante Fortschritte für Kleinbäuer*innn umgewandelt werden können.","Kap. 2301 Tit. 896 03 
(TZ)",2018-12-10 00:00:00.000,2024-09-30 00:00:00,10600000.0,7612686.52,0.0,"Kolumbien, Ägypten, Äthiopien, Ghana, Honduras, Indonesien, Indien, Kenia, Sri Lanka, Marokko, Malawi, Mexiko, Nigeria, Peru, Philippinen, Thailand, Tansania, Uganda, Vietnam"
6,Kenia,KEN,2019.0112.3,122.0,Wasser und Energie für eine nachhaltige Agrar- und Ernährungswirtschaft,"Durch die Förderung des multisektoralen Nexus-
Ansatzes „Wasser- Energy- Food-Nexus“ gemeinsam mit der Privatwirtschaftsförderung für die Verbreitung
von klimafreundlichen Innovationen leistet das Modul einen erheblichen Beitrag zur Klimaschutz
und Klimaanpassung.","Kap. 2310 Tit. 896 31
(SI Transformation der Agrar‐ und Ernährungssysteme)",2020-01-01 00:00:00.000,2024-12-31 00:00:00,23000000.0,14225980.12,1300000.0,"Côte d'Ivoire, Kenia"
7,Kenia,KEN,2017.0133.3,123.0,Beschäftigung im ländlichen Raum mit Fokus auf Jugendliche," Das GV setzt in Kenia, Malawi, Mosambik und Burkina Faso einen integrierten Ansatz zur Beschäftigungsförderung von Jugendlichen im ländlichen Raum um. Ziel ist es, die Beschäftigungssituation im ländlichen Raum insbesondere für Jugendliche zu verbessern. Die Sektorkomponente des GV berät zum Thema Jugendbeschäftigung im Bereich Landwirtschaft (G20 Initiative zu Jugendbeschäftigung). Die Maßnahme wird mit Ende der Laufzeit (31.12.2024) auslaufen und wichtige Kernaktivitäten in bestehende bilaterale Vorhaben integriert.","Kap. 2310 Tit. 896 31
(SI Transformation der Agrar‐ und Ernährungssysteme)",2018-01-01 00:00:00.000,2024-12-01 00:00:00,36500000.0,22398640.01,0.0,"Burkina Faso, Kenia, Malawi, Mosambik"
8,Bosnien und Herzegovina,BIH,2021.2211.7,411.0,Bekämpfung Illegaler Finanzströme (IFF),"Das GV stärkt globale, regionale und nationale Systeme zur entwicklungsorientierten Bekämpfung illegaler Finanzströme. Thematische Schwerpunkte sind Prävention, Finanzermittlung und Vermögensrückführung. Die regionalen Schwerpunkte sind Afrika, Lateinamerika und der Westbalkan, mit jeweils eigenen Regionalbüros. NOR kofinanziert das Vorhaben mit 5,85 Mio. EUR.","Kap. 2301 Tit. 896 03 
(TZ)",2021-10-01 09:59:59.999,2024-09-30 00:00:00,15000000.0,6683731.33,0.0,"Albanien, Bosnien und Herzegovina, Ghana, Kenia, Nordmazedonien, Peru, Serbien, Senegal, Tunesien, Tansania, Uganda, Kosovo"
9,Kolumbien,COL,2021.2214.1,414.0,Cities Finance Facility (CFF),"Die Cities Finance Facility (CFF) berät Städte bei der Vorbereitung und Finanzierung von sozial inklusiven Stadtentwicklungsprojekten, die zu Minderung und Anpassung an den Klimawandel beitragen (Leitungsschwerpunkt Just Transition). Die CFF als Multigeberpartnerschaft wird durch eine Kombi-Finanzierung mit dem britischen Ministerium Department for Business, Energy and Industrial Strategy (BEIS) sowie durch die französische Agence Francaise du Development aufgestockt, USAid plant ebenfalls einen Beitrag ab 2023. Die Aufstockung durch Kombi-Finanzierungen weiterer Geber ermöglicht der CFF, ihre Projekte zu skalieren und politische Sichtbarkeit durch eine Geberallianz zu stärken.","Kap. 2301 Tit. 896 03 
(TZ)",2021-04-01 00:00:00.000,2024-10-31 00:00:00,7250000.0,5856059.52,0.0,"Brasilien, Kolumbien, Ecuador, Ghana, Indonesien, Indien, Malaysia, Peru, Philippinen, Sierra Leone, Senegal, Südafrika"
10,Ghana,GHA,2022.2020.0,414.0,Globalvorhaben Go Circular ,"Kreislaufwirtschaft ist essentieller Teil einer sozial-ökologischen Transformation, einer Just Transition. Das GV Go Circular berät das BMZ (Referate 414 und 424) in diesem Themenkomplex, inklusiver fachliche Zuarbeit, Beobachtung internationaler Prozesse (u.a. UNEA-Plastikabkommen), Vorbereitung von Positionierung, Agenda-Setting zu Kreislaufwirtschaft und Meeresmüllvermeidung. Als Globalvorhaben arbeitet Go Circular zudem global z.B. zu Abfallvermeidung und der Entwicklung neuer Kreislaufwirtschaftsansätze über die vom BMZ lancierte Multiakteurspartnerschaft PREVENT Waste Alliance, deren Sekretariatsfunktion an das GV angedockt ist, und in Länderkomponenten zu Klimaminderung (in Kolumbien) und Meeresmüllvermeidung (Ghana). Das GV fördert innovative Ansätze (mit Fokus auf Unternehmerinnen), skaliert Erprobtes und arbeitet mit internationalen Allianzen. Go Circular zielt dabei auf eine spürbare, positive Wirkung auf die Gleichberechtigung der Geschlechter ab. Das Vorhaben wird durch die Leitungsreserve 2023 verlängert.","Kap. 2301 Tit. 896 03 
(TZ)",2022-07-01 00:00:00.000,2024-06-30 00:00:00,7000000.0,1048144.79,6500000.0,"Kolumbien, Ghana, Vietnam"
11,Burkina Faso,BFA,2020.2159.0,422.0,NDC Assist II - Stärkung der Finanzierung und Umsetzung nationaler Klimabeiträge,"Zielt darauf ab, Kapazitäten ausgewählter NDCP Mitgliedsländer sowie ausgewählter Akteure des Privatsektors für die Finanzierung und Umsetzung ihrer NDCs zu stärken. Regional Pacific NDC Hub: Unterstützung von 14 PICs bei der ambitionierten Gestaltung und Umsetzung ihrer NDCs. Änderungsangebot eingereicht (falls gebilligt: Verlängerung bis 12/25 und zusätzliche Komponente Art. 6).","Kap. 2301 Tit. 896 03 
(TZ)",2020-10-08 00:00:00.000,2024-12-31 00:00:00,14300000.0,5183470.39,1500000.0,"Albanien, Burkina Faso, Fidschi, Indonesien, Kenia, St. Lucia, Nigeria, Peru, Ruanda, Südafrika"
12,Argentinien,ARG,2021.2031.9,423.0,Globalvorhaben CONNEX Support Unit II,"Die Multigeberfinanzierte CONNEX Support Unit soll Schwellenländer darin unterstützen, den entwicklungspolitischen Nutzen von Investitionen zu erhöhen.","Kap. 2301 Tit. 896 03 
(TZ)",2021-03-01 11:00:00.000,2024-02-29 11:00:00,7000000.0,3669121.03,0.0,"Afghanistan, Argentinien, Ecuador, Liberia, Mongolei, Mauretanien, Montserrat, Panama, Philippinen, Ruanda, Senegal"
13,Kamerun,CMR,2020.2289.5,424.0,GV Proklima für integrierten Klima- und Ozonschutz,"Das Vorhaben unterstützt eine klimaverträgliche und nachhaltige Transformation des Cooling-Sektors und fördert den beschleunigten Einsatz von klima- und ozonfreundlichen Technologien, u.a. durch Beratung ausgewählter Kooperationsländer und die Erarbeitung von Sektorstrategien. Qualifizierung, Registrierung und Zertifizierung von Kältetechniker/innen zur Anwendung von natürlichen Kältemitteln sowie Pilotmaßnahmen zur Implementierung neuer Technologien für klimafreundliche Kühlung fördern den von der Bundesregierung propagierten Green-Cooling Ansatz. Die Beratung und Unterstützung des BMZ zielt darauf ab, Deutschlands Rolle im multilateralen Prozess des Montrealer Protokolls zu stärken, andere Akteure zu einer ambitionierten Umsetzung einer integrierten Klima- und Ozonschutzpolitik zu bewegen.
","Kap. 2301 Tit. 896 03 
(TZ)",2020-12-18 00:00:00.000,2024-06-30 00:00:00,4000000.0,1811041.09,0.0,"Burkina Faso, Kamerun, Mali, Senegal"
14,Albanien,ALB,"2019.2146.9,
2023.2163.6",500.0,Programm Migration und Diaspora,"Förderung positiver Effeke von Migration durch Migrationsberatung, Rückkehrende Fachkräfte, Diasporaförderung, Migrationspolitikberatung; soll ab 1.06. 2023 in ein Folgevorhaben übergehen ""Migration entwicklungspolitisch gestalten mit folgendem Inhalt: Migrationspolitikberatung und Aufbau von Kapazitäten von Partnerstrukturen, insbes. im Bereich Feministische Entwicklungspolitik (Globale Sorgeketten, prekäre Arbeit) und Diasporaförderung, Partnerschaften mit mulilateralen Akteuren.  ","Kap. 2301 Tit. 896 03 
(TZ)",2019-05-12 00:00:00.000,2023-06-30 00:00:00,94950000.0,78750430.57,24000000.0,"Afghanistan, Albanien, Kamerun, Kolumbien, Ecuador, Ägypten, Äthiopien, Georgien, Ghana, Gambia, Indonesien, Indien, Irak, Jordanien, Kenia, Marokko, Nigeria, Nepal, Peru, Pakistan, Palästinensische Gebiete, Serbien, Senegal, Tunesien, Ukraine, Vietnam, Kosovo"
15,Äthiopien,ETH,"2020.2045.1,
2023.2165.1",500.0,Programm Migration für Entwicklung III,"Stärkung der Rückkehr und Reintegration von MigrantInnen und Integration lokaler Bevölkerung in den Arbeitsmarkt in ausgewählten Partnerländern. Soll am 5.05.2023 in ein Folgevorhaben übergehen ""Zentren für Migration und Entwicklung"" zur Umsetzung der Leuchtturminitiative ""Zentren für Migration und Entwicklung"".","Kap. 2301 Tit. 896 03 
(TZ)",2020-05-05 00:00:00.000,2023-07-31 00:00:00,182148000.0,118773088.99,48000000.0,"Dschibuti, Äthiopien, Kenia, Sudan, Somalia, Südsudan, Uganda"
16,Tansania,TZA,2019.2156.8,513.0,Betreiberplattform zur Stärkung von Partnerschaften kommunaler Unternehmen weltweit,"Ziel des Projektes ist, systematische Ansätze zur Förderung der Zusammenarbeit kommunaler Unternehmen
am Beispiel des Wassersektor zu pilotieren, sowie ein dauerhaftes Modell zur Förderung für Betreiberpartnerschaften
kommunaler Unternehmen (auch andere Sektoren) zu entwickeln.","Kap. 2301 Tit. 896 03 
(TZ)",2019-06-18 00:00:00.000,2024-06-30 00:00:00,12150000.0,4714541.25,2000000.0,"Jordanien, Tansania, Ukraine, Südafrika, Sambia"
0,Brasilien,BRA,2020.2256.4,101.0,Unterstützung der internationalen Allianz zur Reduzierung von Gesundheitsrisiken im Wildtierhandel,"Eine internationale Allianz wird als interdisziplinäre, inklusive Austausch-Plattform etabliert, um wissenschaftliche Evidenz in die Praxis und konkrete Policy-Empfehlungen zu übersetzen. So verbreitet sie erfolgreich Ansätze zur Reduzierung von Risiken der Umwelt-, Human- und Tiergesundheit im Umgang mit Wildtieren und Wildtierprodukten entlang der gesamten Handelskette.","Kap. 2301 Tit. 896 03 
(TZ)",2020-12-15 00:00:00.000,2024-12-31 00:00:00,8500000.0,2703186.25,3215000.0,"Angola, Bolivien, Brasilien, Bhutan, Botsuana, Kongo Dem. Rep., Kongo Republik, Kamerun, China VR, Guatemala, Indonesien, Indien, Kenia, Laos, Mongolei, Nigeria, Philippinen, Thailand, Vietnam, Sambia"
